股票代码,股票简称,股票市场类型
002397.SZ,梦洁股份,a股
002398.SZ,垒知集团,a股
002399.SZ,海普瑞,a股
002400.SZ,省广集团,a股
002404.SZ,嘉欣丝绸,a股
002405.SZ,四维图新,a股
002412.SZ,汉森制药,a股
002413.SZ,雷科防务,a股
002416.SZ,爱施德,a股
002420.SZ,毅昌科技,a股
002419.SZ,天虹股份,a股
002421.SZ,达实智能,a股
002428.SZ,云南锗业,a股
002434.SZ,万里扬,a股
002440.SZ,闰土股份,a股
002443.SZ,金洲管道,a股
002442.SZ,龙星科技,a股
002451.SZ,摩恩电气,a股
002456.SZ,欧菲光,a股
002457.SZ,青龙管业,a股
002458.SZ,益生股份,a股
002462.SZ,嘉事堂,a股
002468.SZ,申通快递,a股
002476.SZ,新叶股份,a股
002479.SZ,富春环保,a股
002481.SZ,双塔食品,a股
002484.SZ,江海股份,a股
002486.SZ,嘉麟杰,a股
002488.SZ,金固股份,a股
002489.SZ,浙江永强,a股
002491.SZ,通鼎互联,a股
002492.SZ,恒基达鑫,a股
002494.SZ,华斯股份,a股
002495.SZ,佳隆股份,a股
002498.SZ,汉缆股份,a股
002497.SZ,雅化集团,a股
002506.SZ,协鑫集成,a股
002511.SZ,中顺洁柔,a股
002513.SZ,蓝丰生化,a股
002518.SZ,科士达,a股
002524.SZ,光正眼科,a股
002534.SZ,西子洁能,a股
002537.SZ,海联金汇,a股
002539.SZ,云图控股,a股
002541.SZ,鸿路钢构,a股
002544.SZ,普天科技,a股
002545.SZ,东方铁塔,a股
002549.SZ,凯美特气,a股
002551.SZ,尚荣医疗,a股
002556.SZ,辉隆股份,a股
002561.SZ,徐家汇,a股
002566.SZ,益盛药业,a股
002567.SZ,唐人神,a股
002571.SZ,德力股份,a股
002574.SZ,明牌珠宝,a股
002573.SZ,清新环境,a股
002576.SZ,通达动力,a股
002578.SZ,闽发铝业,a股
002585.SZ,双星新材,a股
002587.SZ,奥拓电子,a股
002591.SZ,恒大高新,a股
002592.SZ,ST八菱,a股
002593.SZ,日上集团,a股
002597.SZ,金禾实业,a股
002599.SZ,盛通股份,a股
002611.SZ,东方精工,a股
002612.SZ,朗姿股份,a股
002613.SZ,北玻股份,a股
002615.SZ,哈尔斯,a股
002617.SZ,露笑科技,a股
002622.SZ,皓宸医疗,a股
002626.SZ,金达威,a股
002628.SZ,成都路桥,a股
002629.SZ,仁智股份,a股
002633.SZ,申科股份,a股
002635.SZ,安洁科技,a股
002636.SZ,金安国纪,a股
002639.SZ,雪人集团,a股
002641.SZ,公元股份,a股
002643.SZ,万润股份,a股
002646.SZ,天佑德酒,a股
